psraid,sample,file,iloc,int_date,fcall,attempt,refusal,lang,cregion,scregion,state,sstate,density,usr,susr,form,igender,irace,llitext0,llitext,cpitext,cpitext2,cpitext3,qs1,thought,campnii,reg,precinct,statereg,folgov,q5,q5a,Q5horse,q5b,q5c,q5d,q7,q8,swing,swingdet,q9f2,q9f2vb,q9f2_1,q9f2_2,q9f2_3,oftvote,where,planto1,planto2,q11,q15f2,q16f1,q17af1,q17bf1,q17cf1,q17df1,q17ef1,q17ff1,q17gf2,q17hf2,q17if2,q17jf2,q17kf2,q17lf2,q21a,q21b,q22a,q22b,q22cf1,q22df1,q22ef2,q22ff2,q22gf2,q22hf2,q23af2,q23bf2,q23cf2,q23df2,q23ef2,q23ff2,q23gf2,q23hf2,q24af1,q24bf1,q24cf1,q24df1,q24ef1,q24ff1,q24gf1,q24hf1,q25af1,q25bf1,q25cf1,q26af2,q26bf2,q26cf2,q26df2,q27af1,q27bf1,q27cf1,q28af2,q28bf2,q28cf2,q28df2,q29f2,q30f2,q32,q33f1,q34f2,q35f1,q36f1,q37f2,q37f2os,q38a,q38b,q39f1,q40f2,q41f1,q43f2,q44f2,q46,q49a,q49b,q49c,q49d,q49e,q49f,sex,age,educ2,hisp,birth_hisp,race3m1,race3m2,race3m3,race3m4,racecmb,racehisp,racethn,marital,parent,relig,chr,born,attend,income,party,partyln,ideo,teaparty2,pvote08a,pvote08b,first,scale10,employ2,labor2,hh1,hh3,ql1,ql1a,qc1,lc2,lc3,money2,phoneuse,lvs7,lvs7wt62,unlvs7wt62,coweight,llweight,weight
50131,1,2,2,91212,120912,1,0,1,2,2,27,27,3,S,S,2,2,1,2,2, , , , ,2,1,1,1,27,1,2, ,1,1, ,1,2, ,1,1,1,I FEEL HE IS FOR THE MIDDLE CLASS PEOPLE  AND I LIKE HIS VAULES,5,55, ,1,1,1,1,1,1, , , , , , , ,1,1,1,1,1,1,1,3,1,3, , ,1,1,4,4,2,2,2,2,2,2,2,2, , , , , , , , , , , ,1,1,2,2, , , ,2,2,2,2,3,9,4, ,3, , ,4,,2,4, ,1, ,2,1, ,1,2,2,2,3,1,2,75,3,2, ,1, , , ,1,0,1,5,2,1, ,1,1,3,2, ,4,2,1,1, ,10,3,2,1, ,2, , , , , ,1,7,1.8076923076923077,0,1.625,2.2666666666666666,1.8076923076923077
50133,1,2,2,91212,120912,1,0,1,2,2,17,17,3,S,S,2,1,1,1,2, , , , ,1,1,1,1,17,1,9,1,2, ,1, , ,2,4,5,1,I FEEL LIKE WE HAVE GIVEN IT 4 YEARS ONE WAY AND IT IS TIME FOR A CHANGE,15, , ,1,1,1,1,1,9, , , , , , , ,1,1,1,1,1,1,2,2,2,2, , ,8,1,2,8,4,9,1,1,2,4,4,4, , , , , , , , , , , ,2,9,2,9, , , ,1,1,2,2,3,3,4, ,3, , ,4,,9,1, ,1, ,2,1, ,4,2,1,3,9,9,2,65,5,2, ,1, , , ,1,0,1,1,2,1, ,2,2,7,3,9,3,3,1,9, ,10,3,2,2,2,1, , , ,2, ,2,7,1.3076923076923077,0,1.6666666666666667,2.533333333333333,1.3076923076923077
50140,1,2,2,91212,120912,1,0,1,2,2,27,27,3,S,S,1,1,1,1,1, , , , ,1,1,1,1, ,1,1, ,2,1,1, , ,2,2,2, ,, , , ,2,1,1,1,1, ,1,1,1,1,1,2,1, , , , , , ,4,2,3,2,4,1, , , , , , , , , , , , ,1,1,1,1,1,1,1,1,2,2,2, , , , ,1,1,2, , , , , , ,4,2, ,3,4, ,,4,2,2, ,3, , , ,3,1,3,3,3,1,2,67,8,2, ,1, , , ,1,0,1,1,2,2, ,1,1,4,1, ,2,1,1,2, ,10,3,2,2,2,1, , , ,2, ,2,7,1.1153846153846154,0,1.625,2.066666666666667,1.1153846153846154
50143,1,2,2,91212,120912,1,0,1,2,2,17,17,3,S,S,1,2,1,1,2, , , , ,1,1,1,1, ,1,2, ,1,1, ,1,2, ,1,1, ,, , , ,1,1,1,1,1, ,1,1,1,4,1,1,4, , , , , , ,1,4,1,4,1,4, , , , , , , , , , , , ,2,2,2,2,2,2,2,2,1,1,2, , , , ,2,2,1, , , , , , ,3,1, ,3,1, ,,1,4,1, ,3, , , ,4,9,2,4,1,4,1,71,5,2, ,1, , , ,1,0,1,1,2,1, ,1,4,7,2, ,4,2,1,1, ,10,3,1,2,2,1, , , ,2, ,2,7,1.6153846153846154,0,2.4583333333333335,4.466666666666667,1.6153846153846154
50144,1,2,2,91612,120912,7,0,1,2,2,27,27,1,R,R,1,2,3,1,2, , , , ,3,3,1,1, ,3,8,8,9, , , ,9,9,5,7, ,, , , ,2,1,1,1,1, ,1,2,2,2,3,2,1, , , , , , ,3,3,3,3,3,8, , , , , , , , , , , , ,1,9,9,1,9,9,9,9,2,1,2, , , , ,2,1,1, , , , , , ,4,3, ,2,2, ,,3,3,2, ,3, , ,2,3,1,2,3,2,2,2,44,8,2, ,1, , , ,1,0,1,1,1,13, ,2,2,10,3,9,3,3,1,1, ,10,1,1,5,2,1, , , ,1, ,3,5,3.0384615384615383,0,4.916666666666667,5.533333333333333,3.0384615384615383
50145,1,2,2,91212,120912,1,0,1,2,2,19,19,2,U,U,2,1,3,2,1, , , , ,2,4,1,1,19,2,2, ,1,1, ,1,2, ,1,1,1,I LIKE OBAMA BECUASE HE SAID WHAT HE SAID WAS GOING TO DO.THE BUSH ADMINISTRATION MESSSED THINGS UP.MITT ROMNEY DOESNT KNOW WHAT TO DO WITH THE PRESIDENCY.,26,16, ,2,3,1,1,1,1, , , , , , , ,1,3,1,1,1,1,1,4,1,2, , ,4,8,2,4,2,2,2,2,4,2,2,2, , , , , , , , , , , ,1,1,2,2, , , ,2,2,1,2,3,2,1, ,1, , ,3,,1,3, ,9, ,1,2, ,1,1,1,2,2,9,2,78,1,2, ,1, , , ,1,0,1,5,2,2, ,9,1,2,2, ,1,2,1,1, ,10,3,2,1, ,1, , ,3, , ,2,6,2.730769230769231,0,2.375,3.066666666666667,2.730769230769231
50152,1,2,2,91212,120912,1,0,1,2,2,19,19,1,R,R,1,1,9,1,1, , , , ,3,4,3, , , , , , , , , , , , , , ,, , , , , , , , , ,9, , , , , , , , , , , , ,3,3,3,3,8,8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,9, ,3,5, ,,3,3,2, ,3, , ,2,2,1,2,9,1,2,2,99,3,2, ,1, , , ,1,0,1,1,2,13, ,2,5,3,3,9,3,3,2, , , ,1,2,2,2,1, , , ,2, ,2,0,0,1.8461538461538463,2.4583333333333335,6.266666666666667,1.8461538461538463
50153,1,2,2,91212,120912,1,0,1,3,3,22,22,4,U,U,2,2,1,1,1, , , , ,1,1,1,1,28,9,2, ,1,1, ,2,2, ,1,1,1,ROMNEY IS ALL ABOUT CAPITOLISM AND IS TRYING TO TURN THIS COUNTRY THAT WAY.  OBAMA IS FOR THE PEOPLE AND REPRESENTS THE HAVES AND HAVE NOTS.,61,5, ,1,1,1,1,1,9, , , , , , , ,1,2,1,1,1,1,1,3,1,3, , ,1,8,1,4,2,2,2,2,2,2,2,2, , , , , , , , , , , ,1,1,2,2, , , ,2,2,9,2,3,9,4, ,3, , ,1,,1,4, ,1, ,1,1, ,3,1,3,9,3,9,2,48,6,9, ,9, , , ,9,0,9,9,9,99,9, ,9,10,9,9,9,2,9, ,2,10,1,2,9,9,1, , , ,3, ,2,6,2.769230769230769,0,3.375,5.266666666666667,2.769230769230769
50155,1,2,2,91212,120912,1,0,1,2,2,17,17,5,U,U,2,2,1,1,1, , , , ,1,1,1,1,17,1,2, ,1,2, ,1,2, ,1,1,1,"ANOTHER FOUR YEARS OF AN ATEMPT OF A SOLUTION,THAT OUR GOVERNMENT OFFICALS SHOULD FIGHTING EACH OTHER AND FIGHT FOR OUR COUNTRY",37,32, ,1,1,1,1,1,1, , , , , , , ,1,2,1,1,2,2,2,4,1,3, , ,1,3,2,4,2,2,2,2,2,2,2,2, , , , , , , , , , , ,1,1,2,1, , , ,2,2,2,1,3,1,3, ,2, , ,3,,2,3, ,2, ,2,1, ,4,1,2,3,2,2,2,59,8,2, ,2, , , ,2,0,2,6,2,1,1,1,2,8,2, ,3,2,1,1, ,10,1,1,2,2,1, , , ,2, ,2,7,1.6923076923076923,0,2.125,3,1.6923076923076923
50158,1,2,2,91212,120912,1,0,1,2,2,20,20,1,R,R,2,1,1,2,1, , , , ,3,3,1,1,20,2,1, ,2,1,2, , ,2,2,2,1,PREFER HIS ECONOMIC PLAN,2, , ,2,1,1,2,1,1, , , , , , , ,1,1,1,1,1,2,4,3,4,3, , ,4,2,3,8,9,4,4,1,9,3,4,1, , , , , , , , , , , ,2,2,1,1, , , ,1,2,2,1,1,3,4, ,3, , ,2,,4,3, ,1, ,1,1,3,2,1,3,2,3,2,2,60,8,2, ,1, , , ,1,0,1,1,2,1, ,1,2,10,4,1,2,1,1,4, ,10,1,1,2,2,1, , , ,2, ,2,4,0.16899750000000002,0.9463870038461538,1.625,2.2666666666666666,1.1153846153846154
50159,1,2,2,91212,120912,1,0,1,3,3,48,48,1,R,R,1,1,3,1,2, , , , ,1,1,1,1, ,1,2, ,1,1, ,1,2, ,1,1, ,, , , ,1,1,1,1,1, ,2,1,1,1,1,1,1, , , , , , ,1,4,1,4,2,4, , , , , , , , , , , , ,2,2,2,2,2,2,2,2,1,1,2, , , , ,2,2,1, , , , , , ,2,1, ,9,2, ,,1,4,9, ,3, , , ,4,9,3,4,1,4,2,52,6,2, ,1, , , ,1,0,1,1,2,3, ,1,4,8,2, ,4,2,1,1, ,10,3,2,2,2,1, , , ,1, ,3,7,1.7692307692307692,0,2.6666666666666665,2.2666666666666666,1.7692307692307692
50160,1,2,2,91212,120912,1,0,1,3,3,40,40,1,S,S,1,2,1,2,1, , , , ,1,2,1,1, ,1,1, ,2,1,1, , ,2,2,2, ,, , , ,1,1,1,1,1, ,1,1,1,1,1,1,1, , , , , , ,4,2,3,2,3,2, , , , , , , , , , , , ,1,1,1,1,1,1,1,1,2,1,2, , , , ,1,1,2, , , , , , ,3,9, ,3,9, ,,3,2,2, ,3, , , ,3,1,2,3,3,9,2,99,3,2, ,9, , , ,9,0,9,1,2,1, ,1,1,10,1, ,2,1,1,9, ,10,3,2,2,2,2,1, , ,2, ,2,7,6.5,0,4.541666666666667,5.733333333333333,6.5
50163,1,2,2,91212,120912,1,0,1,3,3,5,5,1,S,S,1,2,1,2,1, , , , ,9,3,2, , , , , , , , , , , , , , ,, , , , , , , , , ,2, , , , , , , , , , , , ,8,8,2,3,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,1, ,3,2, ,,2,4,1, ,9, , , ,9,2,9,9,9,2,2,74,3,2, ,1, , , ,1,0,1,5,2,1, ,1,1,10,2, ,9,8,2, , , ,3,2,1, ,2, , , , , ,1,0,0,1.8076923076923077,1.625,1.8,1.8076923076923077
